"setDate"	"flipDate"	"age"	"NewAge"	"id"	"larv_adult"	"larvalTreat"	"adultTreat"	"carriedM"	"status"
"2018-02-20"	"2018-02-21"	1	3	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-21"	1	3	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-23"	3	5	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_DR2"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"DR_C2"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_DR2"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-26"	6	8	"C_C2"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"DR_C1"	"DR_C"	"DR"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_C1"	"C_C"	"C"	"C"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_DR1"	"C_DR"	"C"	"DR"	0	2
"2018-02-20"	"2018-02-28"	8	10	"C_DR1"	"C_DR"	"C"	"DR"	0	2
