collectedEggs	startDate	sampleDate	age	id	larvalTreat	adultTreat	deadFemale	deadMale	censored	camera_id	numEggs	remark
2/8/2018	2/20/2018	2/21/2018	1	EE_DR_DR1	DR	DR	0	0	1	9298	262	
2/8/2018	2/20/2018	2/21/2018	1	EE_DR_C1	DR	C	2	1	0	9297	60	
2/8/2018	2/20/2018	2/21/2018	1	EE_C_C1	C	C	4	5	0	9301	20	
2/8/2018	2/20/2018	2/21/2018	1	EE_C_DR1	C	DR	4	4	1	9293	42	
2/9/2018	2/20/2018	2/21/2018	1	EE_DR_DR2	DR	DR	2	2	2	9294	330	
2/9/2018	2/20/2018	2/21/2018	1	EE_DR_C2	DR	C	4	2	1	9299	426	
2/9/2018	2/20/2018	2/21/2018	1	EE_C_DR2	C	DR	1	5	1	9300	166	
2/9/2018	2/20/2018	2/21/2018	1	EE_C_C2	C	C	3	1	2	9295	178	
2/8/2018	2/20/2018	2/23/2018	3	EE_DR_DR1	DR	DR	1	2	1	9307	88	
2/8/2018	2/20/2018	2/23/2018	3	EE_DR_C1	DR	C	9	4	0	9310	80	
2/8/2018	2/20/2018	2/23/2018	3	EE_C_C1	C	C	4	4	0	9303	137	
2/8/2018	2/20/2018	2/23/2018	3	EE_C_DR1	C	DR	3	5	1	9308	155	
2/9/2018	2/20/2018	2/23/2018	3	EE_DR_DR2	DR	DR	6	9	0	9306	486	
2/9/2018	2/20/2018	2/23/2018	3	EE_DR_C2	DR	C	1	5	1	9309	190	
2/9/2018	2/20/2018	2/23/2018	3	EE_C_DR2	C	DR	2	1	0	9305	263	
2/9/2018	2/20/2018	2/23/2018	3	EE_C_C2	C	C	4	7	2	9304	71	
2/8/2018	2/20/2018	2/26/2018	6	EE_DR_DR1	DR	DR	2	3	0	9312	197	
2/8/2018	2/20/2018	2/26/2018	6	EE_DR_C1	DR	C	3	4	1	9316	786	
2/8/2018	2/20/2018	2/26/2018	6	EE_C_C1	C	C	4	3	0	9319	108	
2/8/2018	2/20/2018	2/26/2018	6	EE_C_DR1	C	DR	8	4	0	9311	107	
2/9/2018	2/20/2018	2/26/2018	6	EE_DR_DR2	DR	DR	11	3	0	9314	499	
2/9/2018	2/20/2018	2/26/2018	6	EE_DR_C2	DR	C	13	7	1	9318	1043	
2/9/2018	2/20/2018	2/26/2018	6	EE_C_DR2	C	DR	7	11	0	9313	416	
2/9/2018	2/20/2018	2/26/2018	6	EE_C_C2	C	C	5	8	1	9315	417	
2/8/2018	2/20/2018	2/28/2018	8	EE_DR_DR1	DR	DR	3	2	0	9383	164	
2/8/2018	2/20/2018	2/28/2018	8	EE_DR_C1	DR	C	9	2	1	9384	186	
