"setDate"	"flipDate"	"age"	"NewAge"	"id"	"larv_adult"	"larvalTreat"	"adultTreat"	"status"
"2018-02-20"	"2018-02-21"	1	3	"DR_C1"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"DR_DR2"	"DR_DR"	"DR"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"DR_DR2"	"DR_DR"	"DR"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C2"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"DR_C2"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR2"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR2"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR2"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR2"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_DR2"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-21"	1	3	"C_C2"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR1"	"DR_DR"	"DR"	"DR"	2
"2018-02-20"	"2018-02-23"	3	5	"DR_DR1"	"DR_DR"	"DR"	"DR"	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"DR_C1"	"DR_C"	"DR"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"C_C1"	"C_C"	"C"	"C"	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	2
"2018-02-20"	"2018-02-23"	3	5	"C_DR1"	"C_DR"	"C"	"DR"	2
