"time","n.risk","n.event","n.censor","surv","std.err","upper","lower","strata","larvalTreat","adultTreat","sex"
3,426,7,1,0.983568075117371,0.00626234816128489,0.995714758469999,0.971569568654976,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
5,418,8,1,0.964743805737134,0.00926805789415426,0.982428570665375,0.947377385490538,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
8,409,9,1,0.943514724437295,0.0118705148190072,0.965723684492404,0.921816508723088,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
10,399,17,0,0.903314848960017,0.0158885022902817,0.931887458626394,0.875618304333028,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
12,382,12,1,0.874938466270173,0.0183669856157882,0.907008834058366,0.844002054901642,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
15,369,9,0,0.853598503678218,0.0201270176160639,0.887944442848734,0.820581075032211,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
17,360,20,0,0.806176364584983,0.0238431443171366,0.844744519057736,0.769369100542267,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
19,340,28,0,0.739785369854455,0.0288521622321062,0.78282510223101,0.699111962417873,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
22,312,49,0,0.623601129076031,0.037810057248844,0.67156935761733,0.579059130340026,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
24,263,27,1,0.559581241300165,0.043181097669383,0.609002344132094,0.514170706619012,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
26,235,29,0,0.490526534926953,0.049635239286574,0.540644883975854,0.445054209517295,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
29,206,28,0,0.423853025325231,0.0568090272323555,0.473773994970028,0.379192165430516,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
31,178,11,0,0.397659860838841,0.059977595809539,0.447264859751039,0.353556425180345,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
33,167,7,0,0.38099148343841,0.0621231683592894,0.430323045093475,0.337315214947574,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
36,160,18,0,0.338129941551589,0.0682022108741599,0.386489283669311,0.295821545912528,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
38,142,3,1,0.330986351237119,0.069307522328483,0.379144495566149,0.288945154120398,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
40,138,9,0,0.309400284852089,0.0728635287658722,0.356896474013041,0.268224942628758,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
43,129,11,0,0.283017314825942,0.0776642267128528,0.329549696368516,0.24305530053263,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
45,118,10,1,0.259032796620354,0.0825615836753282,0.304530855001609,0.220332319773007,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
47,107,12,1,0.229982389522744,0.0894255919517928,0.274039889585564,0.19300803094973,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
50,94,24,1,0.17126348155949,0.10790900291126,0.211600689353351,0.138615711534369,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
52,69,10,1,0.146442687130579,0.118746586597202,0.184818298249011,0.116035375377878,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
54,58,6,1,0.131293443634312,0.126846922504692,0.168350858565983,0.102393112147985,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
57,51,16,1,0.0901033436706062,0.158283692094558,0.122877461452389,0.0660708029337751,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
59,34,3,2,0.0821530486408468,0.167033011687306,0.113973121193814,0.0592167989284797,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
61,29,7,0,0.0623230024171941,0.197159361500253,0.0917214095265335,0.04234732817936,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
64,22,5,4,0.0481586836860137,0.228562459263123,0.0753750001396146,0.0307696027870465,"larvalTreat=C, adultTreat=C , sex=F","C","C","F"
