"(Intercept)","cageID","larv_adult","strata(sex)","cageID:larv_adult","larv_adult:strata(sex)","df","logLik","AICc","delta","weight"
"+","+",NA,"+",NA,NA,7,-18716.1893798617,37446.4173272166,0,0.284561876852817
"+","+","+","+",NA,NA,7,-18716.1893798617,37446.4173272166,0,0.284561876852817
"+","+","+","+","+",NA,7,-18716.1893798617,37446.4173272166,0,0.284561876852817
"+","+","+","+",NA,"+",10,-18714.6595828506,37449.3950016198,2.97767440319149,0.0642070823541269
"+","+","+","+","+","+",10,-18714.6595828506,37449.3950016198,2.97767440319149,0.0642070823541269
"+",NA,"+","+",NA,NA,3,-18723.1915600393,37452.3913731735,5.97404595692205,0.0143525516939082
"+",NA,"+","+",NA,"+",6,-18721.5788796153,37455.1866748933,8.76934767673811,0.00354761974727527
"+",NA,NA,"+",NA,NA,0,-18739.1698043662,37478.3396087323,31.9222815157336,3.3292113041955e-08
"+","+",NA,NA,NA,NA,7,-20621.9360830592,41257.9107336115,3811.49340639492,0
"+","+","+",NA,NA,NA,7,-20621.9360830592,41257.9107336115,3811.49340639492,0
"+","+","+",NA,"+",NA,7,-20621.9360830592,41257.9107336115,3811.49340639492,0
"+",NA,"+",NA,NA,NA,3,-20628.1774601433,41262.3631733815,3815.94584616489,0
"+",NA,NA,NA,NA,NA,0,-20648.9572916665,41297.9145833331,3851.4972561165,0
