component,g_100g_supply,perL_C_diet,perL_DR_diet,perL_M_diet,
yeast_P,52.5,105,52.5,11.34,
yeast_C,34,68,34,7.344,
yeast_Fibr,24,48,24,5.184,
yeast_kcal,380,760,380,82.08,
sucrose_P,0,0,0,0,
sucrose_C,99.98,49.99,49.99,0,
sucrose_kJ,1618,809,809,0,
sucrose_kcal,387,193.5,193.5,0,
dextrose_P,0,0,0,0,
dextrose_C,99.7,0,0,86.00122,
dextrose_kJ,1627,0,0,1403.4502,
dextrose_kcal,389,0,0,335.5514,
cornmeal_P,8.2,0,0,3.3456,
cornmeal_C,76.9,0,0,31.3752,
cornmeal_F,3.59,0,0,1.46472,
cornmeal_Fib,7.3,0,0,2.9784,
cornmeal_kJ,1520,0,0,620.16,
cornmeal_kcal,362,0,0,147.696,
,,,,,
,,,,,
,,,,,
,,,,,
