,age,cageID,larv_adult,larvalTreat,adultTreat,status,sex
3,3,HP_HP1,HP_HP,HP,HP,1,F
4,3,HP_HP1,HP_HP,HP,HP,1,F
5,3,HP_HP1,HP_HP,HP,HP,1,F
6,3,HP_HP1,HP_HP,HP,HP,1,F
18,3,HP_HP2,HP_HP,HP,HP,1,F
19,3,HP_HP2,HP_HP,HP,HP,1,F
20,3,HP_HP2,HP_HP,HP,HP,1,F
1847,3,HP_HP2,HP_HP,HP,HP,0,F
1956,3,HP_HP1,HP_HP,HP,HP,1,M
1957,3,HP_HP1,HP_HP,HP,HP,1,M
1958,3,HP_HP1,HP_HP,HP,HP,1,M
1959,3,HP_HP1,HP_HP,HP,HP,1,M
1960,3,HP_HP1,HP_HP,HP,HP,1,M
1974,3,HP_HP2,HP_HP,HP,HP,1,M
3027,3,HP_HP2,HP_HP,HP,HP,0,M
7,3,HP_LP1,HP_LP,HP,LP,1,F
8,3,HP_LP1,HP_LP,HP,LP,1,F
9,3,HP_LP1,HP_LP,HP,LP,1,F
10,3,HP_LP1,HP_LP,HP,LP,1,F
17,3,HP_LP2,HP_LP,HP,LP,1,F
1845,3,HP_LP1,HP_LP,HP,LP,0,F
1961,3,HP_LP1,HP_LP,HP,LP,1,M
1962,3,HP_LP1,HP_LP,HP,LP,1,M
1963,3,HP_LP1,HP_LP,HP,LP,1,M
1964,3,HP_LP1,HP_LP,HP,LP,1,M
1969,3,HP_LP2,HP_LP,HP,LP,1,M
1970,3,HP_LP2,HP_LP,HP,LP,1,M
1971,3,HP_LP2,HP_LP,HP,LP,1,M
1972,3,HP_LP2,HP_LP,HP,LP,1,M
1973,3,HP_LP2,HP_LP,HP,LP,1,M
3026,3,HP_LP2,HP_LP,HP,LP,0,M
1,3,LP_HP1,LP_HP,LP,HP,1,F
2,3,LP_HP1,LP_HP,LP,HP,1,F
13,3,LP_HP2,LP_HP,LP,HP,1,F
14,3,LP_HP2,LP_HP,LP,HP,1,F
15,3,LP_HP2,LP_HP,LP,HP,1,F
16,3,LP_HP2,LP_HP,LP,HP,1,F
1955,3,LP_HP1,LP_HP,LP,HP,1,M
1967,3,LP_HP2,LP_HP,LP,HP,1,M
1968,3,LP_HP2,LP_HP,LP,HP,1,M
3025,3,LP_HP2,LP_HP,LP,HP,0,M
11,3,LP_LP2,LP_LP,LP,LP,1,F
12,3,LP_LP2,LP_LP,LP,LP,1,F
1844,3,LP_LP1,LP_LP,LP,LP,0,F
1846,3,LP_LP2,LP_LP,LP,LP,0,F
1965,3,LP_LP2,LP_LP,LP,LP,1,M
1966,3,LP_LP2,LP_LP,LP,LP,1,M
3024,3,LP_LP2,LP_LP,LP,LP,0,M
31,5,HP_HP1,HP_HP,HP,HP,1,F
32,5,HP_HP1,HP_HP,HP,HP,1,F
33,5,HP_HP1,HP_HP,HP,HP,1,F
34,5,HP_HP1,HP_HP,HP,HP,1,F
47,5,HP_HP2,HP_HP,HP,HP,1,F
48,5,HP_HP2,HP_HP,HP,HP,1,F
49,5,HP_HP2,HP_HP,HP,HP,1,F
50,5,HP_HP2,HP_HP,HP,HP,1,F
1849,5,HP_HP2,HP_HP,HP,HP,0,F
1981,5,HP_HP1,HP_HP,HP,HP,1,M
1982,5,HP_HP1,HP_HP,HP,HP,1,M
1983,5,HP_HP1,HP_HP,HP,HP,1,M
1984,5,HP_HP1,HP_HP,HP,HP,1,M
2005,5,HP_HP2,HP_HP,HP,HP,1,M
2006,5,HP_HP2,HP_HP,HP,HP,1,M
2007,5,HP_HP2,HP_HP,HP,HP,1,M
2008,5,HP_HP2,HP_HP,HP,HP,1,M
2009,5,HP_HP2,HP_HP,HP,HP,1,M
2010,5,HP_HP2,HP_HP,HP,HP,1,M
2011,5,HP_HP2,HP_HP,HP,HP,1,M
3030,5,HP_HP2,HP_HP,HP,HP,0,M
35,5,HP_LP1,HP_LP,HP,LP,1,F
36,5,HP_LP1,HP_LP,HP,LP,1,F
37,5,HP_LP1,HP_LP,HP,LP,1,F
45,5,HP_LP2,HP_LP,HP,LP,1,F
46,5,HP_LP2,HP_LP,HP,LP,1,F
1985,5,HP_LP1,HP_LP,HP,LP,1,M
1986,5,HP_LP1,HP_LP,HP,LP,1,M
1987,5,HP_LP1,HP_LP,HP,LP,1,M
1988,5,HP_LP1,HP_LP,HP,LP,1,M
1989,5,HP_LP1,HP_LP,HP,LP,1,M
2004,5,HP_LP2,HP_LP,HP,LP,1,M
3029,5,HP_LP1,HP_LP,HP,LP,0,M
22,5,LP_HP1,LP_HP,LP,HP,1,F
23,5,LP_HP1,LP_HP,LP,HP,1,F
24,5,LP_HP1,LP_HP,LP,HP,1,F
25,5,LP_HP1,LP_HP,LP,HP,1,F
26,5,LP_HP1,LP_HP,LP,HP,1,F
27,5,LP_HP1,LP_HP,LP,HP,1,F
28,5,LP_HP1,LP_HP,LP,HP,1,F
29,5,LP_HP1,LP_HP,LP,HP,1,F
30,5,LP_HP1,LP_HP,LP,HP,1,F
44,5,LP_HP2,LP_HP,LP,HP,1,F
1848,5,LP_HP2,LP_HP,LP,HP,0,F
1977,5,LP_HP1,LP_HP,LP,HP,1,M
1978,5,LP_HP1,LP_HP,LP,HP,1,M
1979,5,LP_HP1,LP_HP,LP,HP,1,M
1980,5,LP_HP1,LP_HP,LP,HP,1,M
1999,5,LP_HP2,LP_HP,LP,HP,1,M
2000,5,LP_HP2,LP_HP,LP,HP,1,M
2001,5,LP_HP2,LP_HP,LP,HP,1,M
2002,5,LP_HP2,LP_HP,LP,HP,1,M
2003,5,LP_HP2,LP_HP,LP,HP,1,M
21,5,LP_LP1,LP_LP,LP,LP,1,F
38,5,LP_LP2,LP_LP,LP,LP,1,F
39,5,LP_LP2,LP_LP,LP,LP,1,F
40,5,LP_LP2,LP_LP,LP,LP,1,F
41,5,LP_LP2,LP_LP,LP,LP,1,F
42,5,LP_LP2,LP_LP,LP,LP,1,F
43,5,LP_LP2,LP_LP,LP,LP,1,F
1975,5,LP_LP1,LP_LP,LP,LP,1,M
1976,5,LP_LP1,LP_LP,LP,LP,1,M
1990,5,LP_LP2,LP_LP,LP,LP,1,M
1991,5,LP_LP2,LP_LP,LP,LP,1,M
1992,5,LP_LP2,LP_LP,LP,LP,1,M
1993,5,LP_LP2,LP_LP,LP,LP,1,M
1994,5,LP_LP2,LP_LP,LP,LP,1,M
1995,5,LP_LP2,LP_LP,LP,LP,1,M
1996,5,LP_LP2,LP_LP,LP,LP,1,M
1997,5,LP_LP2,LP_LP,LP,LP,1,M
1998,5,LP_LP2,LP_LP,LP,LP,1,M
3028,5,LP_LP1,LP_LP,LP,LP,0,M
56,8,HP_HP1,HP_HP,HP,HP,1,F
57,8,HP_HP1,HP_HP,HP,HP,1,F
58,8,HP_HP1,HP_HP,HP,HP,1,F
59,8,HP_HP1,HP_HP,HP,HP,1,F
99,8,HP_HP2,HP_HP,HP,HP,1,F
100,8,HP_HP2,HP_HP,HP,HP,1,F
101,8,HP_HP2,HP_HP,HP,HP,1,F
102,8,HP_HP2,HP_HP,HP,HP,1,F
103,8,HP_HP2,HP_HP,HP,HP,1,F
