setDate	flipDate	age	id	larvalTreat	adultTreat	deadF	deadM	cens
2/20/18	2/21/18	1	DR_DR1	DR	DR	0	0	1
2/20/18	2/21/18	1	DR_C1	DR	C	2	1	0
2/20/18	2/21/18	1	C_C1	C	C	4	5	0
2/20/18	2/21/18	1	C_DR1	C	DR	4	4	1
2/20/18	2/21/18	1	DR_DR2	DR	DR	2	2	2
2/20/18	2/21/18	1	DR_C2	DR	C	4	2	1
2/20/18	2/21/18	1	C_DR2	C	DR	1	5	1
2/20/18	2/21/18	1	C_C2	C	C	3	1	2
2/20/18	2/23/18	3	DR_DR1	DR	DR	1	2	1
2/20/18	2/23/18	3	DR_C1	DR	C	9	4	0
2/20/18	2/23/18	3	C_C1	C	C	4	4	0
2/20/18	2/23/18	3	C_DR1	C	DR	3	5	1
2/20/18	2/23/18	3	DR_DR2	DR	DR	6	9	0
2/20/18	2/23/18	3	DR_C2	DR	C	1	5	1
2/20/18	2/23/18	3	C_DR2	C	DR	2	1	0
2/20/18	2/23/18	3	C_C2	C	C	4	7	2
2/20/18	2/26/18	6	DR_DR1	DR	DR	2	3	0
2/20/18	2/26/18	6	DR_C1	DR	C	3	4	1
2/20/18	2/26/18	6	C_C1	C	C	4	3	0
2/20/18	2/26/18	6	C_DR1	C	DR	8	4	0
2/20/18	2/26/18	6	DR_DR2	DR	DR	11	3	0
2/20/18	2/26/18	6	DR_C2	DR	C	13	7	1
2/20/18	2/26/18	6	C_DR2	C	DR	7	11	0
2/20/18	2/26/18	6	C_C2	C	C	5	8	1
2/20/18	2/28/18	8	DR_DR1	DR	DR	3	2	0
2/20/18	2/28/18	8	DR_C1	DR	C	9	2	1
2/20/18	2/28/18	8	C_C1	C	C	8	3	1
2/20/18	2/28/18	8	C_DR1	C	DR	2	2	0
2/20/18	2/28/18	8	DR_DR2	DR	DR	10	5	2
2/20/18	2/28/18	8	DR_C2	DR	C	7	7	2
2/20/18	2/28/18	8	C_DR2	C	DR	3	4	1
2/20/18	2/28/18	8	C_C2	C	C	9	2	0
2/20/18	3/2/18	10	DR_DR1	DR	DR	3	2	1
2/20/18	3/2/18	10	DR_C1	DR	C	6	3	1
2/20/18	3/2/18	10	C_C1	C	C	9	5	1
2/20/18	3/2/18	10	C_DR1	C	DR	1	1	0
2/20/18	3/2/18	10	DR_DR2	DR	DR	13	5	1
2/20/18	3/2/18	10	DR_C2	DR	C	10	5	0
2/20/18	3/2/18	10	C_DR2	C	DR	5	1	1
2/20/18	3/2/18	10	C_C2	C	C	3	1	0
2/20/18	3/5/18	13	DR_DR1	DR	DR	6	1	1
2/20/18	3/5/18	13	DR_C1	DR	C	8	1	1
2/20/18	3/5/18	13	C_C1	C	C	4	3	0
2/20/18	3/5/18	13	C_DR1	C	DR	6	0	0
2/20/18	3/5/18	13	DR_DR2	DR	DR	9	1	1
2/20/18	3/5/18	13	DR_C2	DR	C	13	2	3
2/20/18	3/5/18	13	C_DR2	C	DR	7	4	1
2/20/18	3/5/18	13	C_C2	C	C	5	2	0
2/20/18	3/7/18	15	DR_DR1	DR	DR	4	2	0
2/20/18	3/7/18	15	DR_C1	DR	C	4	3	1
2/20/18	3/7/18	15	C_C1	C	C	12	1	0
2/20/18	3/7/18	15	C_DR1	C	DR	4	1	0
2/20/18	3/7/18	15	DR_DR2	DR	DR	6	2	0
2/20/18	3/7/18	15	DR_C2	DR	C	13	2	1
2/20/18	3/7/18	15	C_DR2	C	DR	7	0	0
2/20/18	3/7/18	15	C_C2	C	C	8	3	0
2/20/18	3/9/18	17	DR_DR1	DR	DR	0	2	0
2/20/18	3/9/18	17	DR_C1	DR	C	12	3	0
2/20/18	3/9/18	17	C_C1	C	C	19	5	0
2/20/18	3/9/18	17	C_DR1	C	DR	1	10	2
2/20/18	3/9/18	17	DR_DR2	DR	DR	12	6	0
2/20/18	3/9/18	17	DR_C2	DR	C	16	4	0
2/20/18	3/9/18	17	C_DR2	C	DR	6	5	0
2/20/18	3/9/18	17	C_C2	C	C	9	6	0
2/20/18	3/12/18	20	DR_DR1	DR	DR	12	2	0
2/20/18	3/12/18	20	DR_C1	DR	C	20	3	0
2/20/18	3/12/18	20	C_C1	C	C	20	5	0
2/20/18	3/12/18	20	C_DR1	C	DR	7	20	1
2/20/18	3/12/18	20	DR_DR2	DR	DR	33	6	0
2/20/18	3/12/18	20	DR_C2	DR	C	28	4	0
2/20/18	3/12/18	20	C_DR2	C	DR	18	5	0
2/20/18	3/12/18	20	C_C2	C	C	29	6	0
2/20/18	3/14/18	22	DR_DR1	DR	DR	5	2	0
2/20/18	3/14/18	22	DR_C1	DR	C	14	0	0
2/20/18	3/14/18	22	C_C1	C	C	8	2	1
2/20/18	3/14/18	22	C_DR1	C	DR	15	3	0
2/20/18	3/14/18	22	DR_DR2	DR	DR	21	1	0
2/20/18	3/14/18	22	DR_C2	DR	C	19	0	0
2/20/18	3/14/18	22	C_DR2	C	DR	6	0	0
2/20/18	3/14/18	22	C_C2	C	C	19	1	0
2/20/18	3/16/18	24	DR_DR1	DR	DR	8	0	0
2/20/18	3/16/18	24	DR_C1	DR	C	7	0	0
2/20/18	3/16/18	24	C_C1	C	C	11	2	0
2/20/18	3/16/18	24	C_DR1	C	DR	8	0	1
2/20/18	3/16/18	24	DR_DR2	DR	DR	10	5	0
2/20/18	3/16/18	24	DR_C2	DR	C	13	4	0
2/20/18	3/16/18	24	C_DR2	C	DR	3	1	1
2/20/18	3/16/18	24	C_C2	C	C	18	3	1
2/20/18	3/19/18	27	DR_DR1	DR	DR	5	2	1
2/20/18	3/19/18	27	DR_C1	DR	C	12	4	0
2/20/18	3/19/18	27	C_C1	C	C	6	2	1
2/20/18	3/19/18	27	C_DR1	C	DR	7	7	1
2/20/18	3/19/18	27	DR_DR2	DR	DR	16	6	1
2/20/18	3/19/18	27	DR_C2	DR	C	45	5	0
2/20/18	3/19/18	27	C_DR2	C	DR	10	3	0
2/20/18	3/19/18	27	C_C2	C	C	22	5	0
2/20/18	3/21/18	29	DR_DR1	DR	DR	3	4	1
2/20/18	3/21/18	29	DR_C1	DR	C	3	2	0
2/20/18	3/21/18	29	C_C1	C	C	5	1	0
2/20/18	3/21/18	29	C_DR1	C	DR	4	4	0
2/20/18	3/21/18	29	DR_DR2	DR	DR	10	0	1
2/20/18	3/21/18	29	DR_C2	DR	C	25	4	0
2/20/18	3/21/18	29	C_DR2	C	DR	13	2	0
2/20/18	3/21/18	29	C_C2	C	C	6	4	0
2/20/18	3/23/18	31	DR_DR1	DR	DR	7	5	0
2/20/18	3/23/18	31	DR_C1	DR	C	9	14	0
2/20/18	3/23/18	31	C_C1	C	C	1	5	0
2/20/18	3/23/18	31	C_DR1	C	DR	4	7	0
2/20/18	3/23/18	31	DR_DR2	DR	DR	17	6	0
2/20/18	3/23/18	31	DR_C2	DR	C	22	18	0
2/20/18	3/23/18	31	C_DR2	C	DR	8	8	0
2/20/18	3/23/18	31	C_C2	C	C	6	11	0
2/20/18	3/26/18	34	DR_DR1	DR	DR	13	11	1
2/20/18	3/26/18	34	DR_C1	DR	C	5	12	1
2/20/18	3/26/18	34	C_C1	C	C	5	10	0
2/20/18	3/26/18	34	C_DR1	C	DR	3	13	1
2/20/18	3/26/18	34	DR_DR2	DR	DR	15	13	1
2/20/18	3/26/18	34	DR_C2	DR	C	12	11	0
2/20/18	3/26/18	34	C_DR2	C	DR	26	25	0
2/20/18	3/26/18	34	C_C2	C	C	13	5	0
2/20/18	3/28/18	36	DR_DR1	DR	DR	7	5	0
2/20/18	3/28/18	36	DR_C1	DR	C	11	8	0
2/20/18	3/28/18	36	C_C1	C	C	0	2	1
2/20/18	3/28/18	36	C_DR1	C	DR	4	8	0
2/20/18	3/28/18	36	DR_DR2	DR	DR	7	10	0
2/20/18	3/28/18	36	DR_C2	DR	C	20	17	0
2/20/18	3/28/18	36	C_DR2	C	DR	7	3	0
2/20/18	3/28/18	36	C_C2	C	C	3	6	0
2/20/18	3/30/18	38	DR_DR1	DR	DR	8	7	0
2/20/18	3/30/18	38	DR_C1	DR	C	6	8	0
2/20/18	3/30/18	38	C_C1	C	C	1	6	0
2/20/18	3/30/18	38	C_DR1	C	DR	5	7	0
2/20/18	3/30/18	38	DR_DR2	DR	DR	11	10	1
2/20/18	3/30/18	38	DR_C2	DR	C	9	17	0
2/20/18	3/30/18	38	C_DR2	C	DR	9	10	0
2/20/18	3/30/18	38	C_C2	C	C	8	6	0
2/20/18	4/2/18	41	DR_DR1	DR	DR	13	4	0
2/20/18	4/2/18	41	DR_C1	DR	C	10	4	0
2/20/18	4/2/18	41	C_C1	C	C	4	3	0
2/20/18	4/2/18	41	C_DR1	C	DR	2	1	0
2/20/18	4/2/18	41	DR_DR2	DR	DR	23	7	0
2/20/18	4/2/18	41	DR_C2	DR	C	17	4	0
2/20/18	4/2/18	41	C_DR2	C	DR	19	6	1
2/20/18	4/2/18	41	C_C2	C	C	7	4	0
2/20/18	4/4/18	43	DR_DR1	DR	DR	6	3	1
2/20/18	4/4/18	43	DR_C1	DR	C	5	0	0
2/20/18	4/4/18	43	C_C1	C	C	6	4	4
2/20/18	4/4/18	43	C_DR1	C	DR	3	3	0
2/20/18	4/4/18	43	DR_DR2	DR	DR	12	3	0
2/20/18	4/4/18	43	DR_C2	DR	C	10	8	2
2/20/18	4/4/18	43	C_DR2	C	DR	9	5	2
2/20/18	4/4/18	43	C_C2	C	C	4	4	1
2/20/18	4/6/18	45	DR_DR1	DR	DR	5	2	2
2/20/18	4/6/18	45	DR_C1	DR	C	24	2	1
2/20/18	4/6/18	45	C_C1	C	C	1	1	0
2/20/18	4/6/18	45	C_DR1	C	DR	3	3	6
2/20/18	4/6/18	45	DR_DR2	DR	DR	17	5	0
2/20/18	4/6/18	45	DR_C2	DR	C	11	6	1
2/20/18	4/6/18	45	C_DR2	C	DR	16	4	3
2/20/18	4/6/18	45	C_C2	C	C	11	3	1
2/20/18	4/9/18	48	DR_DR1	DR	DR	10	4	3
2/20/18	4/9/18	48	DR_C1	DR	C	6	2	0
2/20/18	4/9/18	48	C_C1	C	C	8	4	1
2/20/18	4/9/18	48	C_DR1	C	DR	3	2	1
2/20/18	4/9/18	48	DR_DR2	DR	DR	18	7	2
2/20/18	4/9/18	48	DR_C2	DR	C	17	8	5
2/20/18	4/9/18	48	C_DR2	C	DR	7	11	3
2/20/18	4/9/18	48	C_C2	C	C	16	3	0
2/20/18	4/11/18	50	DR_DR1	DR	DR	5	0	3
2/20/18	4/11/18	50	DR_C1	DR	C	6	5	3
2/20/18	4/11/18	50	C_C1	C	C	5	4	3
2/20/18	4/11/18	50	C_DR1	C	DR	4	0	0
2/20/18	4/11/18	50	DR_DR2	DR	DR	9	5	5
2/20/18	4/11/18	50	DR_C2	DR	C	4	3	6
2/20/18	4/11/18	50	C_DR2	C	DR	7	5	0
2/20/18	4/11/18	50	C_C2	C	C	5	6	0
2/20/18	4/13/18	52	DR_DR1	DR	DR	1	2	3
2/20/18	4/13/18	52	DR_C1	DR	C	1	0	7
2/20/18	4/13/18	52	C_C1	C	C	2	4	1
2/20/18	4/13/18	52	C_DR1	C	DR	0	1	3
2/20/18	4/13/18	52	DR_DR2	DR	DR	5	4	1
2/20/18	4/13/18	52	DR_C2	DR	C	9	2	0
2/20/18	4/13/18	52	C_DR2	C	DR	8	2	1
2/20/18	4/13/18	52	C_C2	C	C	4	0	0
2/20/18	4/16/18	55	DR_DR1	DR	DR	5	2	0
2/20/18	4/16/18	55	DR_C1	DR	C	2	1	1
2/20/18	4/16/18	55	C_C1	C	C	11	14	2
2/20/18	4/16/18	55	C_DR1	C	DR	2	3	0
2/20/18	4/16/18	55	DR_DR2	DR	DR	4	2	9
2/20/18	4/16/18	55	DR_C2	DR	C	6	2	4
2/20/18	4/16/18	55	C_DR2	C	DR	9	3	3
2/20/18	4/16/18	55	C_C2	C	C	5	2	1
2/20/18	4/18/18	57	DR_DR1	DR	DR	3	0	0
2/20/18	4/18/18	57	DR_C1	DR	C	1	0	5
2/20/18	4/18/18	57	C_C1	C	C	1	1	0
2/20/18	4/18/18	57	C_DR1	C	DR	3	2	0
2/20/18	4/18/18	57	DR_DR2	DR	DR	5	6	0
2/20/18	4/18/18	57	DR_C2	DR	C	4	3	11
2/20/18	4/18/18	57	C_DR2	C	DR	3	2	0
2/20/18	4/18/18	57	C_C2	C	C	2	2	3
2/20/18	4/20/18	59	DR_DR1	DR	DR	5	3	0
2/20/18	4/20/18	59	DR_C1	DR	C	2	0	1
2/20/18	4/20/18	59	C_C1	C	C	6	1	0
2/20/18	4/20/18	59	C_DR1	C	DR	1	0	0
2/20/18	4/20/18	59	DR_DR2	DR	DR	3	3	0
2/20/18	4/20/18	59	DR_C2	DR	C	4	2	2
2/20/18	4/20/18	59	C_DR2	C	DR	8	3	0
2/20/18	4/20/18	59	C_C2	C	C	1	4	1
2/20/18	4/23/18	62	DR_DR1	DR	DR	5	3	3
2/20/18	4/23/18	62	DR_C1	DR	C	2	4	3
2/20/18	4/23/18	62	C_C1	C	C	2	2	0
2/20/18	4/23/18	62	C_DR1	C	DR	3	3	1
2/20/18	4/23/18	62	DR_DR2	DR	DR	7	5	3
2/20/18	4/23/18	62	DR_C2	DR	C	4	2	2
2/20/18	4/23/18	62	C_DR2	C	DR	9	4	0
2/20/18	4/23/18	62	C_C2	C	C	3	1	6
2/20/18	4/25/18	64	DR_DR1	DR	DR	0	1	1
2/20/18	4/25/18	64	DR_C1	DR	C	2	1	0
2/20/18	4/25/18	64	C_C1	C	C	0	0	0
2/20/18	4/25/18	64	C_DR1	C	DR	0	1	2
2/20/18	4/25/18	64	DR_DR2	DR	DR	4	5	0
2/20/18	4/25/18	64	DR_C2	DR	C	4	2	0
2/20/18	4/25/18	64	C_DR2	C	DR	3	0	1
2/20/18	4/25/18	64	C_C2	C	C	0	2	0
2/20/18	4/27/18	66	DR_DR1	DR	DR	1	0	1
2/20/18	4/27/18	66	DR_C1	DR	C	1	2	1
2/20/18	4/27/18	66	C_C1	C	C	3	3	0
2/20/18	4/27/18	66	C_DR1	C	DR	1	2	1
2/20/18	4/27/18	66	DR_DR2	DR	DR	5	4	0
2/20/18	4/27/18	66	DR_C2	DR	C	2	1	0
2/20/18	4/27/18	66	C_DR2	C	DR	10	3	0
2/20/18	4/27/18	66	C_C2	C	C	0	1	0
2/20/18	4/30/18	69	DR_DR1	DR	DR	2	0	3
2/20/18	4/30/18	69	DR_C1	DR	C	4	0	0
2/20/18	4/30/18	69	C_C1	C	C	1	0	1
2/20/18	4/30/18	69	C_DR1	C	DR	3	0	2
2/20/18	4/30/18	69	DR_DR2	DR	DR	3	4	1
2/20/18	4/30/18	69	DR_C2	DR	C	4	2	11
2/20/18	4/30/18	69	C_DR2	C	DR	6	4	2
2/20/18	4/30/18	69	C_C2	C	C	2	0	0
2/20/18	5/2/18	71	DR_DR1	DR	DR	0	0	0
2/20/18	5/2/18	71	DR_C1	DR	C	0	1	0
2/20/18	5/2/18	71	C_C1	C	C	1	3	0
2/20/18	5/2/18	71	C_DR1	C	DR	0	1	0
2/20/18	5/2/18	71	DR_DR2	DR	DR	3	3	0
2/20/18	5/2/18	71	DR_C2	DR	C	4	3	0
2/20/18	5/2/18	71	C_DR2	C	DR	0	3	0
2/20/18	5/2/18	71	C_C2	C	C	0	0	0
2/20/18	5/4/18	73	DR_DR1	DR	DR	1	1	0
2/20/18	5/4/18	73	DR_C1	DR	C	1	0	0
2/20/18	5/4/18	73	C_C1	C	C	1	0	0
2/20/18	5/4/18	73	C_DR1	C	DR	1	0	0
2/20/18	5/4/18	73	DR_DR2	DR	DR	2	1	0
2/20/18	5/4/18	73	DR_C2	DR	C	3	0	0
2/20/18	5/4/18	73	C_DR2	C	DR	1	0	0
2/20/18	5/4/18	73	C_C2	C	C	1	0	0
2/20/18	5/7/18	76	DR_DR1	DR	DR	0	2	0
2/20/18	5/7/18	76	DR_C1	DR	C	0	2	0
2/20/18	5/7/18	76	C_C1	C	C	0	1	0
2/20/18	5/7/18	76	C_DR1	C	DR	0	3	0
2/20/18	5/7/18	76	DR_DR2	DR	DR	1	0	0
2/20/18	5/7/18	76	DR_C2	DR	C	0	9	0
2/20/18	5/7/18	76	C_DR2	C	DR	0	5	0
2/20/18	5/7/18	76	C_C2	C	C	1	8	0
2/20/18	5/9/18	78	DR_DR1	DR	DR	0	1	0
2/20/18	5/9/18	78	DR_C1	DR	C	0	1	0
2/20/18	5/9/18	78	C_C1	C	C	0	0	0
2/20/18	5/9/18	78	C_DR1	C	DR	0	1	0
2/20/18	5/9/18	78	DR_DR2	DR	DR	0	1	0
2/20/18	5/9/18	78	DR_C2	DR	C	0	0	0
2/20/18	5/9/18	78	C_DR2	C	DR	0	0	0
2/20/18	5/9/18	78	C_C2	C	C	0	1	0
2/20/18	5/11/18	80	DR_DR1	DR	DR	2	1	0
2/20/18	5/11/18	80	DR_C1	DR	C	1	0	0
2/20/18	5/11/18	80	C_C1	C	C	1	3	0
2/20/18	5/11/18	80	C_DR1	C	DR	1	0	0
2/20/18	5/11/18	80	DR_DR2	DR	DR	0	1	0
2/20/18	5/11/18	80	DR_C2	DR	C	3	1	0
2/20/18	5/11/18	80	C_DR2	C	DR	1	0	0
2/20/18	5/11/18	80	C_C2	C	C	1	1	0
2/20/18	5/14/18	83	DR_DR1	DR	DR	0	0	0
2/20/18	5/14/18	83	DR_C1	DR	C	0	0	0
2/20/18	5/14/18	83	C_DR1	C	DR	0	1	0
2/20/18	5/14/18	83	DR_DR2	DR	DR	0	2	0
2/20/18	5/14/18	83	DR_C2	DR	C	0	0	0
2/20/18	5/14/18	83	C_DR2	C	DR	0	6	0
2/20/18	5/14/18	83	C_C2	C	C	0	0	0
2/20/18	5/16/18	85	DR_DR1	DR	DR	0	2	0
2/20/18	5/16/18	85	DR_C1	DR	C	0	0	0
2/20/18	5/16/18	85	C_DR1	C	DR	0	2	0
2/20/18	5/16/18	85	DR_DR2	DR	DR	0	2	0
2/20/18	5/16/18	85	DR_C2	DR	C	0	1	0
2/20/18	5/16/18	85	C_DR2	C	DR	0	2	0
2/20/18	5/16/18	85	C_C2	C	C	0	0	0
2/20/18	5/18/18	87	DR_DR1	DR	DR	0	2	0
2/20/18	5/18/18	87	DR_C1	DR	C	1	0	0
2/20/18	5/18/18	87	C_DR1	C	DR	0	0	0
2/20/18	5/18/18	87	DR_DR2	DR	DR	0	1	0
2/20/18	5/18/18	87	C_DR2	C	DR	0	2	0
2/20/18	5/18/18	87	C_C2	C	C	0	0	0
2/20/18	5/21/18	90	DR_DR1	DR	DR	0	4	0
2/20/18	5/21/18	90	DR_C1	DR	C	0	0	0
2/20/18	5/21/18	90	C_DR1	C	DR	0	4	0
2/20/18	5/21/18	90	DR_DR2	DR	DR	0	1	0
2/20/18	5/21/18	90	C_DR2	C	DR	0	5	0
2/20/18	5/21/18	90	C_C2	C	C	0	0	0
2/20/18	5/23/18	92	DR_DR1	DR	DR	0	0	0
2/20/18	5/23/18	92	DR_C1	DR	C	0	0	0
2/20/18	5/23/18	92	C_DR1	C	DR	0	1	0
2/20/18	5/23/18	92	DR_DR2	DR	DR	0	0	0
2/20/18	5/23/18	92	C_DR2	C	DR	0	0	0
2/20/18	5/23/18	92	C_C2	C	C	0	0	0
2/20/18	5/25/18	94	DR_DR1	DR	DR	0	1	0
2/20/18	5/25/18	94	DR_C1	DR	C	0	0	0
2/20/18	5/25/18	94	C_DR1	C	DR	0	1	0
2/20/18	5/25/18	94	DR_DR2	DR	DR	0	0	0
2/20/18	5/25/18	94	C_DR2	C	DR	0	0	0
2/20/18	5/25/18	94	C_C2	C	C	0	0	0
2/20/18	5/28/18	97	DR_DR1	DR	DR	0	2	0
