"setDate"	"flipDate"	"id"	"larv_adult"	"larvalTreat"	"adultTreat"	"deadF"	"deadM"	"cens"	"eelife_age"	"age"	"NewAge"
2018-02-20	2018-02-21	"DR_DR1"	"DR_DR"	"DR"	"DR"	0	0	1	1	1	3
2018-02-20	2018-02-21	"DR_C1"	"DR_C"	"DR"	"C"	2	1	0	1	1	3
2018-02-20	2018-02-21	"C_C1"	"C_C"	"C"	"C"	4	5	0	1	1	3
2018-02-20	2018-02-21	"C_DR1"	"C_DR"	"C"	"DR"	4	4	1	1	1	3
2018-02-20	2018-02-21	"DR_DR2"	"DR_DR"	"DR"	"DR"	2	2	2	1	1	3
2018-02-20	2018-02-21	"DR_C2"	"DR_C"	"DR"	"C"	4	2	1	1	1	3
2018-02-20	2018-02-21	"C_DR2"	"C_DR"	"C"	"DR"	1	5	1	1	1	3
2018-02-20	2018-02-21	"C_C2"	"C_C"	"C"	"C"	3	1	2	1	1	3
2018-02-20	2018-02-23	"DR_DR1"	"DR_DR"	"DR"	"DR"	1	2	1	3	3	5
2018-02-20	2018-02-23	"DR_C1"	"DR_C"	"DR"	"C"	9	4	0	3	3	5
2018-02-20	2018-02-23	"C_C1"	"C_C"	"C"	"C"	4	4	0	3	3	5
2018-02-20	2018-02-23	"C_DR1"	"C_DR"	"C"	"DR"	3	5	1	3	3	5
2018-02-20	2018-02-23	"DR_DR2"	"DR_DR"	"DR"	"DR"	6	9	0	3	3	5
2018-02-20	2018-02-23	"DR_C2"	"DR_C"	"DR"	"C"	1	5	1	3	3	5
2018-02-20	2018-02-23	"C_DR2"	"C_DR"	"C"	"DR"	2	1	0	3	3	5
2018-02-20	2018-02-23	"C_C2"	"C_C"	"C"	"C"	4	7	2	3	3	5
2018-02-20	2018-02-26	"DR_DR1"	"DR_DR"	"DR"	"DR"	2	3	0	6	6	8
2018-02-20	2018-02-26	"DR_C1"	"DR_C"	"DR"	"C"	3	4	1	6	6	8
2018-02-20	2018-02-26	"C_C1"	"C_C"	"C"	"C"	4	3	0	6	6	8
2018-02-20	2018-02-26	"C_DR1"	"C_DR"	"C"	"DR"	8	4	0	6	6	8
2018-02-20	2018-02-26	"DR_DR2"	"DR_DR"	"DR"	"DR"	11	3	0	6	6	8
2018-02-20	2018-02-26	"DR_C2"	"DR_C"	"DR"	"C"	13	7	1	6	6	8
2018-02-20	2018-02-26	"C_DR2"	"C_DR"	"C"	"DR"	7	11	0	6	6	8
2018-02-20	2018-02-26	"C_C2"	"C_C"	"C"	"C"	5	8	1	6	6	8
2018-02-20	2018-02-28	"DR_DR1"	"DR_DR"	"DR"	"DR"	3	2	0	8	8	10
2018-02-20	2018-02-28	"DR_C1"	"DR_C"	"DR"	"C"	9	2	1	8	8	10
2018-02-20	2018-02-28	"C_C1"	"C_C"	"C"	"C"	8	3	1	8	8	10
2018-02-20	2018-02-28	"C_DR1"	"C_DR"	"C"	"DR"	2	2	0	8	8	10
