"Diet","age","n.eggs","n"
"HH",3,2.785,2
"HH",5,2.215,2
"HH",8,8.23,2
"HH",10,10.78,2
"HH",12,15.49,2
"HH",15,2.775,2
"HH",17,3.075,2
"HH",19,3.205,2
"HH",22,3.19,2
"HH",24,8.91,2
"HH",26,4.555,2
"HH",29,2.8,2
"HH",31,1.89,2
"HH",33,4.565,2
"HH",36,5.06,2
"HH",38,6.22,2
"HH",40,2.605,2
"HH",43,0.32,2
"HH",45,1.51,2
"HH",47,1.125,2
"HH",50,1.305,2
"HH",52,2.345,2
"HH",54,1.74,2
"HH",57,1.525,2
"HH",59,1.245,2
"HH",61,1.995,2
"HH",64,1.09,2
"HH",66,1.65,2
"HH",68,2.725,2
"HH",71,3.425,2
"HH",75,2.38,2
"HH",78,1.055,2
"HL",3,3.245,2
"HL",5,7.99,2
"HL",8,9.6,2
"HL",10,3.605,2
"HL",12,7.435,2
"HL",15,8.02,2
"HL",17,8.05,2
"HL",19,1.29,2
"HL",22,1.27,2
"HL",24,1.425,2
"HL",26,1.86,2
"HL",29,9.695,2
"HL",31,2.44,2
"HL",33,8.4,2
"HL",36,9.925,2
"HL",38,14.825,2
"HL",40,5.505,2
"HL",43,0.845,2
"HL",45,0.87,2
"HL",47,0.69,2
"HL",50,2.335,2
"HL",52,1.525,2
"HL",54,0.88,2
"HL",57,1.475,2
"HL",59,0.54,2
"HL",61,0.83,2
"HL",64,1.655,2
"HL",66,0.675,2
"HL",68,1.225,2
"HL",71,1.87,2
"HL",75,1.735,2
"HL",78,1.77,2
"LH",3,4.135,2
"LH",5,3.085,2
"LH",8,25.755,2
"LH",10,11.93,2
"LH",12,23.215,2
"LH",15,8.55,2
"LH",17,8.11,2
"LH",19,6.745,2
"LH",22,5.035,2
"LH",24,13.7,2
"LH",26,4.96,2
"LH",29,8.6,2
"LH",31,8.73,2
"LH",33,6.485,2
"LH",36,3.085,2
"LH",38,1.235,2
"LH",40,2.42,2
"LH",43,0.68,2
"LH",45,1.335,2
"LH",47,0.6,2
"LH",50,0.53,2
"LH",52,1.17,2
"LH",54,1.15,2
"LH",57,1.285,2
"LH",59,0.895,2
"LH",61,0.865,2
"LH",64,1.24,2
"LH",66,1.435,2
"LH",68,0.475,2
"LH",71,0.755,2
"LH",75,4.95,2
"LH",78,1.405,2
"LL",3,8.03,2
"LL",5,6.79,2
"LL",8,8.925,2
"LL",10,4.665,2
"LL",12,7.345,2
"LL",15,5.985,2
"LL",17,6.145,2
"LL",19,1.8,2
"LL",22,2.125,2
"LL",24,1.125,2
"LL",26,5.58,2
"LL",29,12.56,2
"LL",31,4.67,2
"LL",33,9.685,2
"LL",36,27.705,2
"LL",38,15.325,2
"LL",40,5.785,2
"LL",43,0.915,2
"LL",45,1.395,2
"LL",47,1.94,2
"LL",50,1.31,2
"LL",52,1.045,2
"LL",54,1.145,2
"LL",57,1.02,2
"LL",59,0.8,2
"LL",61,1.365,2
"LL",64,1.185,2
"LL",66,1.22,2
"LL",68,1.24,2
"LL",71,1.21,2
"LL",75,2.31,2
"LL",78,2.125,2
