"regime","age","n.eggs","n"
"C_C",3,2.785,2
"C_C",5,2.215,2
"C_C",8,8.23,2
"C_C",10,10.78,2
"C_C",12,15.49,2
"C_C",15,2.775,2
"C_C",17,3.075,2
"C_C",19,3.205,2
"C_C",22,3.19,2
"C_C",24,8.91,2
"C_C",26,4.555,2
"C_C",29,2.8,2
"C_C",31,1.89,2
"C_C",33,4.565,2
"C_C",36,5.06,2
"C_C",38,6.22,2
"C_C",40,2.605,2
"C_C",43,0.32,2
"C_C",45,1.51,2
"C_C",47,1.125,2
"C_C",50,1.305,2
"C_C",52,2.345,2
"C_C",54,1.74,2
"C_C",57,1.525,2
"C_C",59,1.245,2
"C_C",61,1.995,2
"C_C",64,1.09,2
"C_C",66,1.65,2
"C_C",68,2.725,2
"C_C",71,3.425,2
"C_C",73,2.71,2
"C_C",75,2.38,2
"C_C",78,1.055,2
"C_DR",3,3.245,2
"C_DR",5,7.99,2
"C_DR",8,9.6,2
"C_DR",10,3.605,2
"C_DR",12,7.435,2
"C_DR",15,8.02,2
"C_DR",17,8.05,2
"C_DR",19,1.29,2
"C_DR",22,1.27,2
"C_DR",24,1.425,2
"C_DR",26,1.86,2
"C_DR",29,9.695,2
"C_DR",31,2.44,2
"C_DR",33,8.4,2
"C_DR",36,9.925,2
"C_DR",38,14.825,2
"C_DR",40,5.505,2
"C_DR",43,0.845,2
"C_DR",45,0.87,2
"C_DR",47,0.69,2
"C_DR",50,2.335,2
"C_DR",52,1.525,2
"C_DR",54,0.88,2
"C_DR",57,1.475,2
"C_DR",59,0.54,2
"C_DR",61,0.83,2
"C_DR",64,1.655,2
"C_DR",66,0.675,2
"C_DR",68,1.225,2
"C_DR",71,1.87,2
"C_DR",73,1.055,2
"C_DR",75,1.735,2
"C_DR",78,1.77,2
"DR_C",3,4.135,2
"DR_C",5,3.085,2
"DR_C",8,25.755,2
"DR_C",10,11.93,2
"DR_C",12,23.215,2
"DR_C",15,8.55,2
"DR_C",17,8.11,2
"DR_C",19,6.745,2
"DR_C",22,5.035,2
"DR_C",24,13.7,2
"DR_C",26,4.96,2
"DR_C",29,8.6,2
"DR_C",31,8.73,2
"DR_C",33,6.485,2
"DR_C",36,3.085,2
"DR_C",38,1.235,2
"DR_C",40,2.42,2
"DR_C",43,0.68,2
"DR_C",45,1.335,2
"DR_C",47,0.6,2
"DR_C",50,0.53,2
"DR_C",52,1.17,2
"DR_C",54,1.15,2
"DR_C",57,1.285,2
"DR_C",59,0.895,2
"DR_C",61,0.865,2
"DR_C",64,1.24,2
"DR_C",66,1.435,2
"DR_C",68,0.475,2
"DR_C",71,0.755,2
"DR_C",73,0.21,2
"DR_C",75,4.95,2
"DR_C",78,1.405,2
"DR_DR",3,8.03,2
"DR_DR",5,6.79,2
"DR_DR",8,8.925,2
"DR_DR",10,4.665,2
"DR_DR",12,7.345,2
"DR_DR",15,5.985,2
"DR_DR",17,6.145,2
"DR_DR",19,1.8,2
"DR_DR",22,2.125,2
"DR_DR",24,1.125,2
"DR_DR",26,5.58,2
"DR_DR",29,12.56,2
"DR_DR",31,4.67,2
"DR_DR",33,9.685,2
"DR_DR",36,27.705,2
"DR_DR",38,15.325,2
"DR_DR",40,5.785,2
"DR_DR",43,0.915,2
"DR_DR",45,1.395,2
"DR_DR",47,1.94,2
"DR_DR",50,1.31,2
"DR_DR",52,1.045,2
"DR_DR",54,1.145,2
"DR_DR",57,1.02,2
"DR_DR",59,0.8,2
"DR_DR",61,1.365,2
"DR_DR",64,1.185,2
"DR_DR",66,1.22,2
"DR_DR",68,1.24,2
"DR_DR",71,1.21,2
"DR_DR",73,0.56,2
"DR_DR",75,2.31,2
"DR_DR",78,2.125,2
