rnum,dd1_count,aj2_count
75,13,14
79,28,25
100,11,7
113,12,15
126,549,336
256,13,17
346,25,14
899,116,103
1015,13,16
1134,16,26
1313,92,63
1605,1810,742
1725,137,124
1759,76,55
1876,116,104
1887,78,75
2021,83,66
2140,0,3
2217,96,79
2405,14,21
2413,13,43
2442,0,13
2450,1,24
2475,201,214
2514,10,17
2675,0,31
2706,17,38
2763,14,24
2776,14,25
2859,7,25
3062,197,198
3069,522,420
3270,34,32
3289,6,15
3367,24,53
3486,7,13
3587,7,35
3709,161,174
3787,8,21
3993,3,7
3994,120,106
4005,63,108
4307,108,104
4328,71,72
4424,79,83
4473,12,12
4530,174,165
4672,3,14
4950,111,109
5016,162,166
5206,5,24
5240,16,9
5400,5,7
5889,3,20
6008,5,19
6237,347,303
6261,491,427
6314,147,115
6331,28,29
6462,128,133
6518,39,35
6692,4,18
6871,1,17
6892,127,131
7017,6,8
7088,101,91
7134,144,139
7165,27,30
7228,1,4
7313,58,65
7460,356,336
7775,3,4
7786,231,209
8079,21,26
8464,2,5
8526,0,2
8587,102,115
8612,75,86
8787,1,19
8837,14,40
8897,404,382
9120,5,10
9131,212,211
9149,90,100
9603,36,38
9676,5,17
9744,525,356
9770,2814,1179
10005,3,16
10094,12,25
10271,23,40
10302,4,19
10455,559,457
10665,229,226
10757,200,206
10809,719,609
10846,181,178
11018,0,9
11057,7,20
11215,160,171
11300,0,6
11499,6,22
11928,36,33
12246,27,39
12269,18,15
12464,8,14
12485,41,51
12866,12,18
13076,13,22
13179,9,7
13256,2,11
13378,175,144
13469,7,11
13482,2,6
13500,5,16
13542,5,17
13569,7,7
13661,2,7
13663,28,32
13812,7,11
14036,11,20
14040,5,5
14041,3,3
14043,4,5
14084,49,65
14101,97,101
14266,74,78
14292,82,78
14544,3,6
14792,218,206
14870,3,19
14900,0,7
14951,12,18
15023,2,9
15051,8,16
15149,19,15
15217,3,6
15308,79,80
15700,3,18
15743,69,66
16119,33,36
16203,14,18
16353,149,122
16468,52,48
16503,145,141
16527,21,32
16532,8,13
16583,2,7
16594,1,11
16692,0,9
16694,0,13
17120,138,149
17235,131,115
17497,5,16
17938,0,5
17981,76,80
18092,134,134
18448,7,11
18480,5,17
18722,281,233
18996,6,12
19017,2,11
19318,12,21
19381,217,184
19481,7,7
19804,0,7
19912,23,38
19981,70,77
20017,47,57
20243,0,8
20610,10,59
20655,2,7
20877,5,17
21077,15,19
21192,131,147
21260,0,13
21640,20,37
21761,2,7
21829,2,13
22003,1,6
22044,746,588
22224,2,12
22231,11,16
22255,46,47
22274,2,11
22725,37,33
22804,24,40
23035,15,18
23338,210,153
23374,231,202
23565,5,18
23673,180,157
23786,75,66
23984,42,39
24191,4,11
24601,5,10
24710,10,13
24844,18,22
24882,1,4
24917,4,10
24941,0,10
24972,270,250
25092,3,6
25100,1,9
25114,378,326
25150,5,20
25219,0,5
25250,37,39
25329,4,4
25429,13,19
25659,225,194
25664,0,10
26068,501,393
26179,6,7
26220,0,4
26405,17,23
26413,57,36
26425,4,16
26600,4,12
26686,2,6
26699,3,11
26765,1,5
26871,8,14
26882,8,15
26905,463,389
27011,0,3
27075,1,8
27142,13,23
27181,10,15
27343,51,53
27416,6,15
27526,1315,888
27533,23,35
27658,3,8
27665,53,39
27703,5,11
27821,310,262
27852,28,41
28036,2,15
28045,30,37
28127,807,344
28175,2,14
28250,59,62
28262,0,11
28391,13,23
28657,0,3
28764,81,86
28790,0,9
28980,0,5
28981,15,13
28996,24,37
29140,195,174
29230,0,17
29462,9,23
29599,325,274
29716,18,24
29867,2,5
29900,5,7
29905,9,10
29991,0,2
30033,334,316
30065,4,16
30201,3,11
30356,1,5
30645,0,4
31249,3,22
31938,2,9
32096,14,31
32158,0,8
32269,46,58
32322,2,11
32435,375,350
32715,60,57
32726,23,49
32734,0,13
