"Diet","age","n.risk","n.event","surv"
"HP_HP",3,428,7,0.983644859813084
"HP_HP",5,420,8,0.964908767245216
"HP_HP",8,411,9,0.943779378181452
"HP_HP",10,401,17,0.90376878110144
"HP_HP",12,384,12,0.87552600669202
"HP_HP",15,371,9,0.854286831327524
"HP_HP",17,362,20,0.807088663850865
"HP_HP",19,342,28,0.741011229383543
"HP_HP",22,314,49,0.625375719065729
"HP_HP",24,265,27,0.56165819297224
"HP_HP",26,237,29,0.492932084971417
"HP_HP",29,208,28,0.426575842763726
"HP_HP",31,180,11,0.400507319039276
"HP_HP",33,169,7,0.383918258487354
"HP_HP",36,162,18,0.341260674210981
"HP_HP",38,144,3,0.334151076831586
"HP_HP",40,140,9,0.312669936178126
"HP_HP",43,131,11,0.286415208712788
"HP_HP",45,120,10,0.262547274653389
"HP_HP",47,109,12,0.233642987535584
"HP_HP",50,96,24,0.175232240651688
"HP_HP",52,71,10,0.150551643376803
"HP_HP",54,60,6,0.135496479039122
"HP_HP",57,53,16,0.0945918815933496
"HP_HP",59,36,3,0.0867092247939038
"HP_HP",61,31,7,0.0671297224210868
"HP_HP",64,24,5,0.0531443635833604
"HP_HP",66,15,0,0.0531443635833604
"HP_HP",68,13,3,0.040880279679508
"HP_HP",71,10,3,0.0286161957756556
"HP_HP",75,5,2,0.0143080978878278
"HP_HP",78,3,1,0.00953873192521853
"HP_LP",3,393,5,0.987277353689567
"HP_LP",5,387,5,0.974521832324069
"HP_LP",8,382,15,0.936255268227574
"HP_LP",10,367,5,0.923499746862076
"HP_LP",12,361,6,0.90815072059844
"HP_LP",15,355,13,0.87489449702723
"HP_LP",17,341,11,0.846672093897319
"HP_LP",19,330,7,0.828712382814649
"HP_LP",22,322,25,0.764371359304195
"HP_LP",24,296,21,0.71014231016437
"HP_LP",26,275,11,0.681736617757795
"HP_LP",29,263,17,0.637669992275352
"HP_LP",31,245,17,0.59342350301543
"HP_LP",33,228,12,0.562190687067249
"HP_LP",36,216,29,0.486711381859146
"HP_LP",38,187,11,0.458081300573314
"HP_LP",40,176,14,0.421643015300437
"HP_LP",43,162,21,0.366985587391121
"HP_LP",45,141,12,0.33575277144294
"HP_LP",47,128,19,0.285914469431879
"HP_LP",50,105,10,0.258684519962176
"HP_LP",52,92,11,0.227754849097133
"HP_LP",54,81,8,0.205260543013466
"HP_LP",57,72,11,0.173901293386409
"HP_LP",59,59,6,0.156216416092876
"HP_LP",61,53,9,0.129689100152576
"HP_LP",64,44,12,0.0943193455655098
"HP_LP",66,32,3,0.0854769069187433
"HP_LP",68,26,11,0.0493136001454288
"HP_LP",71,15,9,0.0197254400581715
"HP_LP",75,4,2,0.00986272002908576
"LP_HP",3,625,6,0.9904
"LP_HP",5,619,10,0.9744
"LP_HP",8,608,16,0.948757894736842
"LP_HP",10,591,16,0.923072401816724
"LP_HP",12,573,16,0.897297256216257
"LP_HP",15,556,21,0.863406532510248
"LP_HP",17,534,17,0.835919807692506
"LP_HP",19,515,28,0.790471740478156
"LP_HP",22,487,48,0.712560768110699
"LP_HP",24,439,33,0.658996974608072
"LP_HP",26,406,20,0.626534069454965
"LP_HP",29,386,57,0.53401478976861
"LP_HP",31,329,28,0.488566722554261
"LP_HP",33,301,31,0.438249219566945
"LP_HP",36,270,17,0.410655750186804
"LP_HP",38,253,31,0.360338247199488
"LP_HP",40,222,15,0.335991068334658
"LP_HP",43,207,27,0.292166146377963
"LP_HP",45,180,15,0.267818967513133
"LP_HP",47,164,35,0.210662480543867
"LP_HP",50,128,23,0.172809066071141
"LP_HP",52,102,10,0.155867000770049
"LP_HP",54,89,10,0.13835385461611
"LP_HP",57,76,8,0.123790290972309
"LP_HP",59,65,5,0.114267960897516
"LP_HP",61,52,6,0.101083196178572
"LP_HP",64,44,6,0.0872991239724032
"LP_HP",66,35,6,0.0723335598628484
"LP_HP",68,29,3,0.064850777808071
"LP_HP",71,26,8,0.0448966923286645
"LP_HP",75,9,4,0.0172679585879479
"LP_LP",3,510,2,0.996078431372549
"LP_LP",5,506,7,0.982298690227079
"LP_LP",8,499,13,0.956707742385492
"LP_LP",10,486,13,0.931116794543905
"LP_LP",12,472,16,0.899553513372925
"LP_LP",15,456,15,0.869962937275131
"LP_LP",17,439,10,0.850146013874786
"LP_LP",19,429,12,0.826365705794373
"LP_LP",22,417,45,0.737189550492822
"LP_LP",24,372,26,0.685665549651926
"LP_LP",26,346,18,0.649995087531305
"LP_LP",29,328,21,0.608379548390581
"LP_LP",31,305,13,0.582448616819835
"LP_LP",33,292,24,0.53457612776615
"LP_LP",36,268,28,0.478724890536851
"LP_LP",38,238,14,0.450564602858213
"LP_LP",40,224,19,0.412347069580061
"LP_LP",43,205,36,0.339934901263562
"LP_LP",45,169,18,0.303728817105313
"LP_LP",47,151,22,0.259476936467453
"LP_LP",50,128,28,0.202716356615197
"LP_LP",52,98,14,0.173756877098741
"LP_LP",54,79,6,0.160560152255798
"LP_LP",57,72,9,0.140490133223824
"LP_LP",59,59,8,0.121440623634153
"LP_LP",61,51,8,0.102391114044482
"LP_LP",64,43,12,0.0738168496599751
"LP_LP",66,27,4,0.0628810200807195
"LP_LP",68,23,6,0.0464772757118362
"LP_LP",71,16,5,0.0319531270518874
"LP_LP",75,6,3,0.0106510423506291
"LP_LP",78,3,1,0.00710069490041941
