"Diet","age","n.risk","n.event","surv","n.eggs","n"
"C_C",3,426,7,0.983568075117371,2.785,2
"C_C",5,418,8,0.964743805737134,2.215,2
"C_C",8,409,9,0.943514724437295,8.23,2
"C_C",10,399,17,0.903314848960017,10.78,2
"C_C",12,382,12,0.874938466270173,15.49,2
"C_C",15,369,9,0.853598503678218,2.775,2
"C_C",17,360,20,0.806176364584983,3.075,2
"C_C",19,340,28,0.739785369854455,3.205,2
"C_C",22,312,49,0.623601129076031,3.19,2
"C_C",24,263,27,0.559581241300165,8.91,2
"C_C",26,235,29,0.490526534926953,4.555,2
"C_C",29,206,28,0.423853025325231,2.8,2
"C_C",31,178,11,0.397659860838841,1.89,2
"C_C",33,167,7,0.38099148343841,4.565,2
"C_C",36,160,18,0.338129941551589,5.06,2
"C_C",38,142,3,0.330986351237119,6.22,2
"C_C",40,138,9,0.309400284852089,2.605,2
"C_C",43,129,11,0.283017314825942,0.32,2
"C_C",45,118,10,0.259032796620354,1.51,2
"C_C",47,107,12,0.229982389522744,1.125,2
"C_C",50,94,24,0.17126348155949,1.305,2
"C_C",52,69,10,0.146442687130579,2.345,2
"C_C",54,58,6,0.131293443634312,1.74,2
"C_C",57,51,16,0.0901033436706062,1.525,2
"C_C",59,34,3,0.0821530486408468,1.245,2
"C_C",61,29,7,0.0623230024171941,1.995,2
"C_C",64,22,5,0.0481586836860137,1.09,2
"C_C",68,13,3,0.0370451412969336,2.725,2
"C_C",71,10,3,0.0259315989078535,3.425,2
"C_C",73,6,1,0.0216096657565446,2.71,2
"C_C",75,5,2,0.0129657994539268,2.38,2
"C_C",78,3,1,0.00864386630261784,1.055,2
"C_DR",3,393,5,0.987277353689567,3.245,2
"C_DR",5,387,5,0.974521832324069,7.99,2
"C_DR",8,382,15,0.936255268227574,9.6,2
"C_DR",10,367,5,0.923499746862076,3.605,2
"C_DR",12,361,6,0.90815072059844,7.435,2
"C_DR",15,355,13,0.87489449702723,8.02,2
"C_DR",17,341,11,0.846672093897319,8.05,2
"C_DR",19,330,7,0.828712382814649,1.29,2
"C_DR",22,322,25,0.764371359304195,1.27,2
"C_DR",24,296,21,0.71014231016437,1.425,2
"C_DR",26,275,11,0.681736617757795,1.86,2
"C_DR",29,263,17,0.637669992275352,9.695,2
"C_DR",31,245,17,0.59342350301543,2.44,2
"C_DR",33,228,12,0.562190687067249,8.4,2
