"id"	"NstartF"	"NstartM"	"NdeadF"	"NdeadM"	"NCensor"	"miss.f"	"miss.m"
"22333.C.1"	24	6	24	5	0	0	1
"22064.DR.1"	24	6	26	4	0	-2	2
"22464.C.1"	23	6	23	5	0	0	1
"22060.DR.1"	24	6	28	3	0	-4	3
"21017.C.1"	21	6	22	5	1	-1	0
"22464.DR.1"	24	6	25	5	0	-1	1
"22028.C.1"	24	6	20	10	0	4	-4
"22333.DR.1"	24	6	26	4	0	-2	2
"22192.DR.1"	24	6	25	5	0	-1	1
"22104.DR.1"	24	6	23	7	0	1	-1
"22111.C.1"	24	6	26	4	0	-2	2
"22286.C.1"	24	6	21	6	0	3	0
"21195.DR.1"	24	6	24	6	0	0	0
"21015.DR.1"	21	6	24	2	0	-3	4
"22324.C.1"	24	6	28	6	0	-4	0
"22380.C.1"	24	6	17	5	1	6	1
"22461.DR.1"	24	6	24	6	0	0	0
"22086.C.1"	24	6	23	6	0	1	0
"22065.C.1"	24	6	22	8	0	2	-2
"22316.DR.1"	23	6	24	5	0	-1	1
"21331.C.1"	21	6	24	3	0	-3	3
"22040.C.1"	24	6	24	6	0	0	0
"22113.DR.1"	22	6	24	4	0	-2	2
"21237.DR.1"	20	6	21	5	0	-1	1
"22316.C.1"	24	6	27	3	0	-3	3
"22419.DR.1"	24	6	22	6	1	1	0
"21017.DR.1"	24	6	26	4	0	-2	2
"22137.DR.1"	24	6	24	6	0	0	0
"22348.C.1"	24	6	23	6	0	1	0
"21237.C.1"	24	6	24	6	0	0	0
"22118.C.1"	24	6	25	5	0	-1	1
"22111.DR.1"	24	6	22	7	0	2	-1
"22291.DR.1"	24	6	26	4	0	-2	2
"22117.C.1"	24	6	22	6	0	2	0
"22042.C.1"	24	6	23	6	0	1	0
"22380.DR.1"	24	6	24	7	0	0	-1
"22072.DR.1"	24	6	26	4	0	-2	2
"22064.C.1"	24	6	25	5	0	-1	1
"22082.DR.1"	24	6	24	6	0	0	0
"22425.DR.1"	24	6	25	3	0	-1	3
"22286.DR.1"	24	6	24	5	0	0	1
"22042.DR.1"	24	6	24	6	0	0	0
"22082.C.1"	24	6	24	6	0	0	0
"22461.C.1"	24	6	24	5	1	0	0
"22417.C.1"	24	6	26	6	2	-2	-2
"22425.C.1"	24	6	23	6	0	1	0
"22014.DR.1"	23	6	24	5	0	-1	1
"22348.DR.1"	24	6	24	6	0	0	0
"22104.C.1"	24	6	24	6	0	0	0
"22057.C.1"	24	6	24	6	0	0	0
"22300.C.1"	24	6	23	5	1	1	0
"22132.C.1"	24	6	23	6	0	1	0
"22004.DR.1"	24	6	19	10	1	4	-4
"22219.C.1"	24	6	23	7	0	1	-1
"22072.C.1"	24	6	26	4	1	-2	1
"22118.DR.1"	24	6	25	5	0	-1	1
"22308.C.1"	24	6	23	6	2	-1	0
"22057.DR.1"	24	6	24	6	0	0	0
"22291.C.1"	24	6	25	3	2	-1	1
"22252.DR.1"	24	6	24	6	0	0	0
"22060.C.1"	24	6	24	6	0	0	0
"21331.DR.1"	20	6	22	3	0	-2	3
"22254.DR.1"	24	6	26	4	0	-2	2
"22040.DR.1"	24	6	26	4	0	-2	2
"22225.C.1"	20	6	20	4	0	0	2
"22137.C.1"	22	6	22	6	0	0	0
"22324.DR.1"	24	6	24	6	0	0	0
"22211.C.1"	24	6	24	6	0	0	0
"22028.DR.1"	24	6	25	5	0	-1	1
"21195.C.1"	21	6	22	4	0	-1	2
"22132.DR.1"	24	6	23	7	0	1	-1
"22300.DR.1"	24	6	23	7	0	1	-1
"22254.C.1"	24	6	24	6	0	0	0
"22463.C.1"	24	6	21	9	0	3	-3
"22252.C.1"	24	6	27	3	0	-3	3
"22192.C.1"	24	6	20	10	0	4	-4
"21201.DR.1"	20	6	20	5	0	0	1
"22113.C.1"	24	6	24	6	0	0	0
"22308.DR.1"	24	6	23	5	2	0	0
"22004.C.1"	24	6	24	5	1	0	0
"22219.DR.1"	24	6	25	5	0	-1	1
"22419.C.1"	24	6	25	5	0	-1	1
"21015.C.1"	21	6	22	5	0	-1	1
"22431.DR.1"	24	6	24	6	0	0	0
"22383.C.1"	24	6	25	6	0	-1	0
"22431.C.1"	24	6	26	4	0	-2	2
"22417.DR.1"	24	6	24	3	3	0	0
"22383.DR.1"	24	6	24	5	1	0	0
"22463.DR.1"	24	6	29	1	0	-5	5
"22042.C.2"	24	6	26	4	0	-2	2
"22082.DR.2"	24	6	25	5	0	-1	1
"22383.DR.2"	24	6	22	8	0	2	-2
"22060.C.2"	24	6	25	5	0	-1	1
"21195.C.2"	24	6	25	5	0	-1	1
"21237.DR.2"	24	6	25	5	0	-1	1
"22324.DR.2"	24	6	25	3	1	-1	2
"22057.C.2"	24	6	25	5	0	-1	1
"21017.DR.2"	24	6	26	3	0	-2	3
"22118.DR.2"	24	6	23	7	0	1	-1
"22118.C.2"	22	6	23	5	0	-1	1
"22004.DR.2"	24	6	24	6	0	0	0
"22060.DR.2"	24	6	27	5	0	-3	1
"22431.C.2"	24	6	26	4	0	-2	2
"22057.DR.2"	24	6	24	6	0	0	0
"22464.C.2"	24	6	23	7	0	1	-1
"22040.DR.2"	22	6	22	6	0	0	0
"22431.DR.2"	24	6	23	6	0	1	0
"21331.DR.2"	23	6	26	3	0	-3	3
"22064.C.2"	24	6	22	6	0	2	0
"22380.C.2"	24	6	26	4	0	-2	2
"22192.C.2"	24	6	22	6	1	1	0
"22211.C.2"	24	6	26	4	0	-2	2
"22383.C.2"	24	6	24	6	0	0	0
"22348.DR.2"	24	6	25	5	0	-1	1
"22042.DR.2"	24	6	24	6	0	0	0
"22219.C.2"	24	6	25	6	0	-1	0
"22104.DR.2"	22	6	22	6	0	0	0
"22333.C.2"	24	6	26	5	1	-2	0
"21237.C.2"	24	6	24	6	0	0	0
"22082.C.2"	24	6	23	6	0	1	0
"22464.DR.2"	24	6	22	8	0	2	-2
"22333.DR.2"	24	6	26	5	0	-2	1
"22286.DR.2"	24	6	24	5	1	0	0
"22132.C.2"	24	6	24	6	0	0	0
"22300.DR.2"	24	6	22	8	0	2	-2
"22308.DR.2"	24	6	22	8	0	2	-2
"22425.DR.2"	24	6	27	4	0	-3	2
"22113.C.2"	24	6	24	6	0	0	0
"22004.C.2"	24	6	24	6	0	0	0
"22254.DR.2"	24	6	24	6	0	0	0
"22380.DR.2"	24	6	24	6	0	0	0
"22324.C.2"	24	6	24	6	0	0	0
"22348.C.2"	24	6	25	6	0	-1	0
"22419.DR.2"	24	6	25	5	0	-1	1
"22192.DR.2"	23	6	22	6	0	1	0
"22291.DR.2"	24	6	26	4	0	-2	2
"22028.DR.2"	24	6	24	6	0	0	0
"22286.C.2"	24	6	24	6	0	0	0
"22086.C.2"	24	6	24	7	0	0	-1
"22028.C.2"	24	6	25	4	0	-1	2
"22308.C.2"	24	6	24	6	0	0	0
"22072.DR.2"	24	6	22	6	2	0	0
"22425.C.2"	24	6	25	5	0	-1	1
"22086.DR.2"	24	6	23	6	0	1	0
"22132.DR.2"	24	6	26	4	0	-2	2
"22419.C.2"	24	6	26	4	0	-2	2
"22104.C.2"	24	6	25	5	0	-1	1
"22014.C.1"	24	6	24	6	0	0	0
"22462.DR.1"	24	6	23	7	0	1	-1
"22154.C.1"	24	6	23	7	0	1	-1
"22225.DR.1"	24	6	24	6	0	0	0
"22117.DR.1"	24	6	20	9	1	3	-3
"22154.DR.1"	24	6	25	6	0	-1	0
"22462.C.1"	24	6	23	7	0	1	-1
"22461.C.2"	24	6	24	6	0	0	0
"22316.DR.2"	24	6	24	6	0	0	0
"22072.C.2"	24	6	17	5	3	4	1
"21017.C.2"	24	6	24	6	0	0	0
"22252.C.2"	24	6	28	2	0	-4	4
"22316.C.2"	24	6	25	5	0	-1	1
"22137.C.2"	24	6	21	9	0	3	-3
"22300.C.2"	24	6	24	5	1	0	0
"21331.C.2"	24	6	28	2	0	-4	4
"22040.C.2"	24	6	24	6	0	0	0
"22111.DR.2"	24	6	26	4	0	-2	2
"22117.DR.2"	23	6	22	6	1	0	0
"22064.DR.2"	24	6	23	6	0	1	0
"22461.DR.2"	24	6	24	6	0	0	0
"22014.DR.2"	24	6	25	6	0	-1	0
"22111.C.2"	24	6	23	7	0	1	-1
"22291.C.2"	24	6	27	3	0	-3	3
"22137.DR.2"	24	6	24	6	0	0	0
"21015.C.2"	24	6	23	6	0	1	0
"22113.DR.2"	24	6	22	8	0	2	-2
"22117.C.2"	24	6	22	5	0	2	1
"22014.C.2"	24	6	23	9	0	1	-3
