Diet,age,n.risk,n.event,n.censor,surv,std.err,upper,lower,,regime,age,n.eggs,n
,,,,,,,,,,C_C,1,2.785,2
C_C,3,426,7,1,0.983568075,0.006262348,0.995714758,0.971569569,,C_C,3,2.215,2
C_C,5,418,8,1,0.964743806,0.009268058,0.982428571,0.947377385,,,,,
,,,,,,,,,,C_C,6,8.23,2
C_C,8,409,9,1,0.943514724,0.011870515,0.965723684,0.921816509,,C_C,8,10.78,2
C_C,10,399,17,0,0.903314849,0.015888502,0.931887459,0.875618304,,C_C,10,15.49,2
C_C,12,382,12,1,0.874938466,0.018366986,0.907008834,0.844002055,,,,,
,,,,,,,,,,C_C,13,2.775,2
C_C,15,369,9,0,0.853598504,0.020127018,0.887944443,0.820581075,,C_C,15,3.075,2
C_C,17,360,20,0,0.806176365,0.023843144,0.844744519,0.769369101,,C_C,17,3.205,2
C_C,19,340,28,0,0.73978537,0.028852162,0.782825102,0.699111962,,,,,
,,,,,,,,,,C_C,20,3.19,2
C_C,22,312,49,0,0.623601129,0.037810057,0.671569358,0.57905913,,C_C,22,8.91,2
C_C,24,263,27,1,0.559581241,0.043181098,0.609002344,0.514170707,,C_C,24,4.555,2
C_C,26,235,29,0,0.490526535,0.049635239,0.540644884,0.44505421,,C_C,27,2.8,2
C_C,29,206,28,0,0.423853025,0.056809027,0.473773995,0.379192165,,C_C,29,1.89,2
C_C,31,178,11,0,0.397659861,0.059977596,0.44726486,0.353556425,,C_C,31,4.565,2
C_C,33,167,7,0,0.380991483,0.062123168,0.430323045,0.337315215,,C_C,34,5.06,2
C_C,36,160,18,0,0.338129942,0.068202211,0.386489284,0.295821546,,C_C,36,6.22,2
C_C,38,142,3,1,0.330986351,0.069307522,0.379144496,0.288945154,,C_C,38,2.605,2
C_C,40,138,9,0,0.309400285,0.072863529,0.356896474,0.268224943,,,,,
,,,,,,,,,,C_C,41,0.32,2
C_C,43,129,11,0,0.283017315,0.077664227,0.329549696,0.243055301,,C_C,43,1.51,2
C_C,45,118,10,1,0.259032797,0.082561584,0.304530855,0.22033232,,C_C,45,1.125,2
C_C,47,107,12,1,0.22998239,0.089425592,0.27403989,0.193008031,,,,,
,,,,,,,,,,C_C,48,1.305,2
C_C,50,94,24,1,0.171263482,0.107909003,0.211600689,0.138615712,,C_C,50,2.345,2
C_C,52,69,10,1,0.146442687,0.118746587,0.184818298,0.116035375,,C_C,52,1.74,2
C_C,54,58,6,1,0.131293444,0.126846923,0.168350859,0.102393112,,,,,
,,,,,,,,,,C_C,55,1.525,2
C_C,57,51,16,1,0.090103344,0.158283692,0.122877461,0.066070803,,C_C,57,1.245,2
C_C,59,34,3,2,0.082153049,0.167033012,0.113973121,0.059216799,,C_C,59,1.995,2
C_C,61,29,7,0,0.062323002,0.197159362,0.09172141,0.042347328,,,,,
,,,,,,,,,,C_C,62,1.09,2
C_C,64,22,5,4,0.048158684,0.228562459,0.075375,0.030769603,,C_C,64,1.65,2
,,,,,,,,,,C_C,66,2.725,2
C_C,68,13,3,0,0.037045141,0.274440742,0.063435978,0.021633504,,,,,
,,,,,,,,,,C_C,69,3.425,2
C_C,71,10,3,1,0.025931599,0.343765711,0.050867829,0.013219511,,C_C,71,2.71,2
C_C,73,6,1,0,0.021609666,0.389240539,0.046341512,0.010076876,,C_C,73,2.38,2
C_C,75,5,2,0,0.012965799,0.533705472,0.036905426,0.00455521,,,,,
,,,,,,,,,,C_C,76,1.055,2
C_C,78,3,1,0,0.008643866,0.671943597,0.032260231,0.002316054,,,,,
C_C,82,2,2,0,0,Inf,NA,NA,,,,,
,,,,,,,,,,C_DR,1,3.245,2
C_DR,3,393,5,1,0.987277354,0.005726284,0.998420287,0.976258782,,C_DR,3,7.99,2
C_DR,5,387,5,0,0.974521832,0.00816162,0.990236104,0.959056933,,,,,
,,,,,,,,,,C_DR,6,9.6,2
C_DR,8,382,15,0,0.936255268,0.013175987,0.960748456,0.912386507,,C_DR,8,3.605,2
C_DR,10,367,5,1,0.923499747,0.014534164,0.950185249,0.897563694,,C_DR,10,7.435,2
C_DR,12,361,6,0,0.908150721,0.016064254,0.937199071,0.88000272,,,,,
,,,,,,,,,,C_DR,13,8.02,2
C_DR,15,355,13,1,0.874894497,0.019108518,0.90828237,0.842733941,,C_DR,15,8.05,2
C_DR,17,341,11,0,0.846672094,0.021514812,0.883138234,0.811711697,,C_DR,17,1.29,2
C_DR,19,330,7,1,0.828712383,0.022990419,0.866908594,0.792199107,,,,,
,,,,,,,,,,C_DR,20,1.27,2
C_DR,22,322,25,1,0.764371359,0.028106452,0.807660161,0.723402742,,C_DR,22,1.425,2
C_DR,24,296,21,0,0.71014231,0.032372178,0.756659757,0.666484633,,C_DR,24,1.86,2
C_DR,26,275,11,1,0.681736618,0.03463341,0.729619838,0.63699586,,,,,
,,,,,,,,,,C_DR,27,9.695,2
C_DR,29,263,17,1,0.637669992,0.038239147,0.687298191,0.59162533,,C_DR,29,2.44,2
C_DR,31,245,17,0,0.593423503,0.04203052,0.644378715,0.546497651,,C_DR,31,8.4,2
C_DR,33,228,12,0,0.562190687,0.044835581,0.613829509,0.514896016,,,,,
,,,,,,,,,,C_DR,34,9.925,2
C_DR,36,216,29,0,0.486711382,0.05223211,0.539177244,0.439350829,,C_DR,36,14.825,2
C_DR,38,187,11,0,0.458081301,0.055339117,0.51056061,0.410996215,,C_DR,38,5.505,2
C_DR,40,176,14,0,0.421643015,0.059610731,0.473898852,0.375149321,,,,,
,,,,,,,,,,C_DR,41,0.845,2
C_DR,43,162,21,0,0.366985587,0.066878982,0.418385381,0.321900399,,C_DR,43,0.87,2
C_DR,45,141,12,1,0.335752771,0.071641731,0.386368008,0.291768266,,C_DR,45,0.69,2
C_DR,47,128,19,4,0.285914469,0.080587528,0.334836167,0.244140543,,,,,
,,,,,,,,,,C_DR,48,2.335,2
C_DR,50,105,10,3,0.25868452,0.086584386,0.306528743,0.218308014,,C_DR,50,1.525,2
C_DR,52,92,11,0,0.227754849,0.09472576,0.274219507,0.189163316,,C_DR,52,0.88,2
C_DR,54,81,8,1,0.205260543,0.101616538,0.25049648,0.168193543,,,,,
,,,,,,,,,,C_DR,55,1.475,2
C_DR,57,72,11,2,0.173901293,0.113271685,0.217130006,0.139279045,,C_DR,57,0.54,2
C_DR,59,59,6,0,0.156216416,0.121446476,0.198199292,0.123126417,,C_DR,59,0.83,2
C_DR,61,53,9,0,0.1296891,0.136413323,0.169441079,0.099263194,,,,,
,,,,,,,,,,C_DR,62,1.655,2
C_DR,64,44,12,0,0.094319346,0.164715883,0.130258836,0.068295858,,C_DR,64,0.675,2
C_DR,66,32,3,3,0.085476907,0.174252921,0.120274387,0.060746945,,C_DR,66,1.225,2
C_DR,68,26,11,0,0.0493136,0.242010762,0.079244046,0.030687872,,,,,
,,,,,,,,,,C_DR,69,1.87,2
C_DR,71,15,9,2,0.01972544,0.398207495,0.043050831,0.00903799,,C_DR,71,1.055,2
,,,,,,,,,,C_DR,73,1.735,2
C_DR,75,4,2,0,0.00986272,0.639194187,0.034520715,0.002817822,,,,,
,,,,,,,,,,C_DR,76,1.77,2
,,,,,,,,,,C_DR,78,0.845,2
C_DR,82,2,2,0,0,Inf,NA,NA,,,,,
,,,,,,,,,,C_DR,83,0.23,2
,,,,,,,,,,DR_C,1,4.135,2
DR_C,3,625,6,0,0.9904,0.003938132,0.998074077,0.982784928,,DR_C,3,3.085,2
DR_C,5,619,10,1,0.9744,0.006483527,0.986861176,0.962096173,,,,,
,,,,,,,,,,DR_C,6,25.755,2
DR_C,8,608,16,1,0.948757895,0.009299918,0.966209954,0.931621062,,DR_C,8,11.93,2
DR_C,10,591,16,2,0.923072402,0.011557315,0.944220382,0.902398079,,DR_C,10,23.215,2
DR_C,12,573,16,1,0.897297256,0.013553707,0.921453186,0.873774575,,,,,
,,,,,,,,,,DR_C,13,8.55,2
DR_C,15,556,21,1,0.863406533,0.015946808,0.890818603,0.83683798,,DR_C,15,8.11,2
DR_C,17,534,17,2,0.835919808,0.017772943,0.865551618,0.80730243,,DR_C,17,6.745,2
DR_C,19,515,28,0,0.79047174,0.020676509,0.823163727,0.759078118,,,,,
,,,,,,,,,,DR_C,20,5.035,2
DR_C,22,487,48,0,0.712560768,0.025534961,0.749130201,0.677776503,,DR_C,22,13.7,2
DR_C,24,439,33,0,0.658996975,0.028934134,0.69744859,0.622665267,,DR_C,24,4.96,2
DR_C,26,406,20,0,0.626534069,0.031061286,0.665861809,0.58952914,,,,,
,,,,,,,,,,DR_C,27,8.6,2
DR_C,29,386,57,0,0.53401479,0.037598452,0.574853455,0.49607738,,DR_C,29,8.73,2
DR_C,31,329,28,0,0.488566723,0.041187244,0.529642136,0.450676837,,DR_C,31,6.485,2
DR_C,33,301,31,0,0.43824922,0.04558326,0.479205389,0.400793445,,,,,
,,,,,,,,,,DR_C,34,3.085,2
DR_C,36,270,17,0,0.41065575,0.048235869,0.451373808,0.373610834,,DR_C,36,1.235,2
DR_C,38,253,31,0,0.360338247,0.053652907,0.400294662,0.324370182,,DR_C,38,2.42,2
DR_C,40,222,15,0,0.335991068,0.056613142,0.375419586,0.300703539,,,,,
,,,,,,,,,,DR_C,41,0.68,2
DR_C,43,207,27,0,0.292166146,0.062687203,0.330361429,0.258386874,,DR_C,43,1.335,2
DR_C,45,180,15,1,0.267818968,0.066593813,0.305158933,0.235048008,,DR_C,45,0.6,2
DR_C,47,164,35,1,0.210662481,0.078032769,0.245475869,0.180786327,,,,,
,,,,,,,,,,DR_C,48,0.53,2
DR_C,50,128,23,3,0.172809066,0.088320001,0.205468213,0.145341086,,DR_C,50,1.17,2
DR_C,52,102,10,3,0.155867001,0.094159791,0.187457637,0.129600065,,DR_C,52,1.15,2
DR_C,54,89,10,3,0.138353855,0.10143145,0.168783454,0.113410341,,,,,
,,,,,,,,,,DR_C,55,1.285,2
DR_C,57,76,8,3,0.123790291,0.108794883,0.153212061,0.100018471,,DR_C,57,0.895,2
DR_C,59,65,5,8,0.114267961,0.114535487,0.143026747,0.091291784,,DR_C,59,0.865,2
DR_C,61,52,6,2,0.101083196,0.125006956,0.129147225,0.079117554,,,,,
,,,,,,,,,,DR_C,62,1.24,2
DR_C,64,44,6,3,0.087299124,0.138619103,0.114552001,0.066529934,,DR_C,64,1.435,2
DR_C,66,35,6,0,0.07233356,0.158513677,0.098688586,0.053016707,,DR_C,66,0.475,2
DR_C,68,29,3,0,0.064850778,0.170602948,0.090600935,0.046419205,,,,,
,,,,,,,,,,DR_C,69,0.755,2
DR_C,71,26,8,5,0.044896692,0.214940417,0.06841825,0.029461627,,DR_C,71,0.21,2
DR_C,73,13,4,0,0.031082325,0.283526748,0.05418161,0.017830975,,DR_C,73,4.95,2
DR_C,75,9,4,0,0.017267959,0.411432019,0.038676981,0.007709557,,,,,
,,,,,,,,,,DR_C,76,1.405,2
,,,,,,,,,,DR_C,78,0.26,1
DR_C,82,5,4,0,0.003453592,0.984518312,0.023784526,0.000501473,,,,,
,,,,,,,,,,DR_C,83,0.22,1
,,,,,,,,,,DR_C,85,0.16,1
DR_C,89,1,1,0,0,Inf,NA,NA,,,,,
,,,,,,,,,,DR_DR,1,8.03,2
DR_DR,3,510,2,2,0.996078431,0.002778421,1,0.990668924,,,,,
DR_DR,5,506,7,0,0.98229869,0.005953407,0.993827739,0.970903386,,,,,
DR_DR,8,499,13,0,0.956707742,0.009436536,0.974566957,0.939175803,,DR_DR,3,6.79,2
DR_DR,10,486,13,1,0.931116795,0.01206648,0.953400042,0.90935436,,DR_DR,6,8.925,2
DR_DR,12,472,16,0,0.899553513,0.014830318,0.926084454,0.873782645,,DR_DR,8,4.665,2
DR_DR,15,456,15,2,0.869962937,0.017161864,0.899723276,0.841186988,,DR_DR,10,7.345,2
DR_DR,17,439,10,0,0.850146014,0.018644773,0.881787591,0.819639846,,DR_DR,13,5.985,2
DR_DR,19,429,12,0,0.826365706,0.020364351,0.860015844,0.794032208,,DR_DR,15,6.145,2
DR_DR,22,417,45,0,0.73718955,0.026548019,0.776563341,0.699812114,,DR_DR,17,1.8,2
DR_DR,24,372,26,0,0.68566555,0.030113098,0.727352012,0.646368248,,DR_DR,20,2.125,2
DR_DR,26,346,18,0,0.649995088,0.032640553,0.69293702,0.609714306,,DR_DR,22,1.125,2
DR_DR,29,328,21,2,0.608379548,0.035692495,0.652463338,0.567274287,,DR_DR,24,5.58,2
DR_DR,31,305,13,0,0.582448617,0.037681869,0.627093766,0.540981923,,DR_DR,27,12.56,2
DR_DR,33,292,24,0,0.534576128,0.041552485,0.579934706,0.492765191,,DR_DR,29,4.67,2
DR_DR,36,268,28,2,0.478724891,0.046496585,0.524401558,0.437026774,,DR_DR,31,9.685,2
DR_DR,38,238,14,0,0.450564603,0.049239592,0.496214998,0.409113917,,DR_DR,34,27.705,2
DR_DR,40,224,19,0,0.41234707,0.053275703,0.457731998,0.371462136,,DR_DR,36,15.325,2
DR_DR,43,205,36,0,0.339934901,0.062268864,0.384060028,0.300879364,,DR_DR,38,5.785,2
DR_DR,45,169,18,0,0.303728817,0.067696147,0.346823936,0.265988545,,DR_DR,41,0.915,2
DR_DR,47,151,22,1,0.259476936,0.075579029,0.300906624,0.223751407,,DR_DR,43,1.395,2
DR_DR,50,128,28,2,0.202716357,0.088880199,0.241292462,0.170307522,,DR_DR,45,1.94,2
DR_DR,52,98,14,5,0.173756877,0.097981478,0.210544542,0.143396984,,DR_DR,48,1.31,2
DR_DR,54,79,6,1,0.160560152,0.103154119,0.196536273,0.131169489,,DR_DR,50,1.045,2
DR_DR,57,72,9,4,0.140490133,0.112360577,0.175100474,0.112720869,,DR_DR,52,1.145,2
DR_DR,59,59,8,0,0.121440624,0.123626817,0.154737411,0.095308723,,DR_DR,55,1.02,2
DR_DR,61,51,8,0,0.102391114,0.137592008,0.134085186,0.078188654,,DR_DR,57,0.8,2
DR_DR,64,43,12,4,0.07381685,0.167134111,0.102428384,0.053197435,,DR_DR,59,1.365,2
DR_DR,66,27,4,0,0.06288102,0.185405057,0.090435022,0.04372225,,DR_DR,62,1.185,2
DR_DR,68,23,6,1,0.046477276,0.2229805,0.071951857,0.030021979,,DR_DR,64,1.22,2
DR_DR,71,16,5,2,0.031953127,0.279516358,0.055263466,0.018475177,,DR_DR,66,1.24,2
DR_DR,73,9,3,0,0.021302085,0.365629526,0.043616069,0.010403936,,DR_DR,69,1.21,2
DR_DR,75,6,3,0,0.010651042,0.548043444,0.03118082,0.003638285,,DR_DR,71,0.56,2
DR_DR,78,3,1,0,0.007100695,0.68338736,0.027101993,0.001860375,,DR_DR,73,2.31,2
DR_DR,82,2,2,0,0,Inf,NA,NA,,DR_DR,76,2.125,2
,,,,,,,,,,DR_DR,78,0.14,2
,,,,,,,,,,DR_DR,83,0.155,2
